news_article,topic
kosal-space-force-unlikely-improve-us-position-space.txt,liberal arts

laura-carruth-named-associate-vice-provost-transformative-teaching-and-learning.txt,liberal arts

lgbtqia-resource-center-hosted-trans-day-remembrance.txt,liberal arts

library-archives-aims-capture-diverse-voices.txt,liberal arts

llya-kaminsky-one-worlds-top-poets-and-he-teaches-georgia-tech.txt,liberal arts

marilyn-brown-tapped-first-woman-receive-class-1934-distinguished-professor-award.txt,liberal arts

marking-two-years-war-ukraine-what-does-future-hold-store.txt,liberal arts

medicaid-unwinding-could-lead-eviction-crisis-new-school-public-policy-research.txt,liberal arts

meet-aisha-johnson-librarys-associate-dean-academic-affairs-and-outreach.txt,liberal arts

mental-health-organizations-offer-engagement-opportunities.txt,liberal arts

mlk-lecture-keynote-speaker-discusses-agenda-next-civil-rights-movement.txt,liberal arts

movements-podcast-highlights-service-civic-engagement.txt,liberal arts

new-georgia-tech-environmental-science-degree-launches.txt,liberal arts

new-study-reveals-racial-ethnic-disparities-use-increasingly-popular-prostate.txt,liberal arts

new-vending-machine-dispenses-art.txt,liberal arts

ninth-annual-diversity-symposium-focuses-building-inclusive-communities-explores.txt,liberal arts

office-hispanic-initiatives-celebrates-2021-hispanic-heritage-month.txt,liberal arts

omed-and-campus-black-student-organizations-join-host-juneteenth-events-tech.txt,liberal arts

paper-museum-employee-shares-talents-atlanta.txt,liberal arts

perception-workers-creativity-affects-their-network-and-standing-within.txt,liberal arts

petit-institute-host-race-and-racism-event-covid-19.txt,liberal arts

poetrytech-works-increase-diversity-literary-criticism-publishing.txt,liberal arts

prompt-engineering-art-getting-what-you-need-generative-ai.txt,liberal arts

remembering-julian-bond-advocate-civil-rights-and-higher-education.txt,liberal arts

renowned-international-poet-named-bourne-poetry-chair-georgia-tech.txt,liberal arts

researchers-find-achieve-long-term-sustainability-urban-systems-must-tackle-social.txt,liberal arts

researchers-find-understanding-and-embracing-intercultural-tensions-and-differences.txt,liberal arts

school-architecture-team-successful-inaugural-department-energy-challenge-home.txt,liberal arts

school-public-policy-professor-talks-tiktok-ban.txt,liberal arts

search-begins-inaugural-assistant-vice-provost-arts.txt,liberal arts

serve-learn-sustain-launch-new-center.txt,liberal arts

shannon-lead-university-north-georgia-hubbard-interim-leadership-role-0.txt,liberal arts

share-love-across-campus.txt,liberal arts

slieper-and-williams-named-faculty-co-directors-quality-enhancement-plan.txt,liberal arts

social-media-driving-force-behind-increased-visits-national-parks.txt,liberal arts

social-media-profile-black-lives-matter-movement.txt,liberal arts

somers-receives-lifetime-achievement-award.txt,liberal arts

stars-aligned-gt21-grad.txt,liberal arts

student-reflection-speakers-share-stories-commencement.txt,liberal arts

tikkun-olam-makers-wins-jewish-federation-propel-pitch-grant.txt,liberal arts

tips-balanced-snacking.txt,liberal arts

title-ix-turns-50.txt,liberal arts

turner-foundation-awards-grant-supporting-regions-first-sustainability-network.txt,liberal arts

undergraduate-sustainability-education-innovation-grants-will-transform-courses-all.txt,liberal arts

when-coeds-came-georgia-tech.txt,liberal arts

why-covid-conspiracy-theories-spread-understanding-human-behaviors-behind-pandemic.txt,liberal arts

will-caitlin-clarks-star-power-raise-wnba-salaries.txt,liberal arts

winning-differently-three-members-georgia-tech-womens-basketball-talk-inequity.txt,liberal arts

